import time: self [us] | cumulative | imported package
import time:       604 |       1608 |                               multiprocessing.context
import time:       637 |       2245 |                             multiprocessing
import time:       690 |       4896 |                           joblib._multiprocessing_helpers
import time:       377 |        377 |                             joblib.externals
import time:       384 |        384 |                             joblib.externals.loky._base
import time:       531 |        531 |                                   multiprocessing.util
import time:      7909 |       8439 |                                 multiprocessing.synchronize
import time:       374 |        374 |                                     ctypes._layout
import time:       964 |       1338 |                                   ctypes.wintypes
import time:       737 |        737 |                                     multiprocessing.connection
import time:      7503 |       7503 |                                     multiprocessing.queues
import time:      9456 |      17696 |                                   concurrent.futures.process
import time:       724 |        724 |                                   joblib.externals.loky.backend.process
import time:       852 |      20608 |                                 joblib.externals.loky.backend.context
import time:       405 |      29451 |                               joblib.externals.loky.backend
import time:        25 |      29476 |                             joblib.externals.loky.backend.context
import time:       414 |        414 |                               joblib.externals.loky.backend._win_reduction
import time:      1944 |       1944 |                                     _uuid
import time:       803 |       2747 |                                   uuid
import time:       950 |       3696 |                                 cloudpickle.cloudpickle
import time:       666 |       4362 |                               cloudpickle
import time:       594 |       5370 |                             joblib.externals.loky.backend.reduction
import time:        39 |         39 |                                 faulthandler
import time:       430 |        430 |                                 joblib.externals.loky.backend.queues
import time:       356 |        356 |                                     pwd
import time:       742 |        742 |                                     psutil._common
import time:      1588 |       1588 |                                     psutil._ntuples
import time:     13666 |      13666 |                                       psutil._psutil_windows
import time:       926 |      14591 |                                     psutil._pswindows
import time:      1121 |      18397 |                                   psutil
import time:       473 |      18870 |                                 joblib.externals.loky.backend.utils
import time:       478 |        478 |                                 joblib.externals.loky.initializers
import time:       672 |      20488 |                               joblib.externals.loky.process_executor
import time:       519 |      21006 |                             joblib.externals.loky.reusable_executor
import time:       569 |        569 |                             joblib.externals.loky.cloudpickle_wrapper
import time:       536 |      57715 |                           joblib.externals.loky
import time:       449 |      63060 |                         joblib._cloudpickle_wrapper
import time:       840 |        840 |                           joblib._utils
import time:       706 |        706 |                           multiprocessing.pool
import time:        64 |         64 |                               mmap
import time:       537 |        537 |                               joblib.backports
import time:       397 |        397 |                               joblib.disk
import time:       123 |        123 |                                     runpy
import time:      7260 |       7383 |                                   multiprocessing.spawn
import time:      7224 |       7224 |                                   multiprocessing.resource_tracker
import time:       522 |      15127 |                                 joblib.externals.loky.backend.stdlib_py314_resource_tracker
import time:       592 |        592 |                                 joblib.externals.loky.backend.spawn
import time:       520 |      16238 |                               joblib.externals.loky.backend.resource_tracker
import time:       364 |        364 |                                   lz4
import time:       495 |        859 |                                 joblib.compressor
import time:       396 |        396 |                                   joblib.numpy_pickle_utils
import time:       390 |        785 |                                 joblib.numpy_pickle_compat
import time:       558 |       2201 |                               joblib.numpy_pickle
import time:       538 |      19973 |                             joblib._memmapping_reducer
import time:       430 |      20402 |                           joblib.executor
import time:       395 |        395 |                           joblib.pool
import time:       656 |      22998 |                         joblib._parallel_backends
import time:       368 |        368 |                           joblib.logger
import time:       540 |        908 |                         joblib._store_backends
import time:      2078 |       2078 |                             _decimal
import time:       455 |       2532 |                           decimal
import time:        52 |         52 |                             _blake2
import time:       611 |        663 |                           hashlib
import time:       395 |       3589 |                         joblib.hashing
import time:      2480 |       2480 |                                 _ssl
import time:      1935 |       4415 |                               ssl
import time:       480 |        480 |                               asyncio.constants
import time:       322 |        322 |                               asyncio.coroutines
import time:       424 |        424 |                                 asyncio.format_helpers
import time:       462 |        462 |                                   asyncio.base_futures
import time:       436 |        436 |                                   asyncio.exceptions
import time:       420 |        420 |                                   asyncio.base_tasks
import time:      1837 |       3153 |                                 _asyncio
import time:       545 |       4121 |                               asyncio.events
import time:       420 |        420 |                               asyncio.futures
import time:       362 |        362 |                               asyncio.protocols
import time:       472 |        472 |                                 asyncio.transports
import time:       325 |        325 |                                 asyncio.log
import time:       647 |       1443 |                               asyncio.sslproto
import time:       330 |        330 |                                   asyncio.mixins
import time:       610 |        940 |                                 asyncio.locks
import time:       437 |        437 |                                   asyncio.queues
import time:       454 |        454 |                                   asyncio.timeouts
import time:       661 |       1550 |                                 asyncio.tasks
import time:       374 |       2864 |                               asyncio.staggered
import time:       350 |        350 |                               asyncio.trsock
import time:       891 |      15664 |                             asyncio.base_events
import time:      1185 |       1185 |                             asyncio.graph
import time:       536 |        536 |                             asyncio.runners
import time:       498 |        498 |                             asyncio.streams
import time:       460 |        460 |                             asyncio.subprocess
import time:       426 |        426 |                             asyncio.taskgroups
import time:       375 |        375 |                             asyncio.threads
import time:      2267 |       2267 |                               _overlapped
import time:      4037 |       4037 |                               asyncio.base_subprocess
import time:       672 |        672 |                               asyncio.proactor_events
